Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Cote d'Ivoire,CIV,22010712,22469268,22995555,23596741,24213622,24848016,25493988,26147551,26811790,27478249
"Population, total",SP.POP.TOTL,Croatia,HRV,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,3899000
"Population, total",SP.POP.TOTL,Cuba,CUB,11309290,11321579,11332026,11339894,11342012,11336405,11328244,11316697,11300698,11256372
"Population, total",SP.POP.TOTL,Curacao,CUW,152088,153822,155909,157980,159664,160175,159336,157441,154947,152369
"Population, total",SP.POP.TOTL,Cyprus,CYP,1156556,1166968,1176995,1187280,1197881,1208523,1218831,1228836,1237537,1244188
"Population, total",SP.POP.TOTL,Czechia,CZE,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,10505772
"Population, total",SP.POP.TOTL,Denmark,DNK,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,5856733
"Population, total",SP.POP.TOTL,Djibouti,DJI,954297,971753,989087,1006259,1023261,1040233,1057198,1073994,1090156,1105557
"Population, total",SP.POP.TOTL,Dominica,DMA,68888,68819,69371,70007,70075,70403,70823,71428,71995,72412
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10030882,10157051,10282115,10405832,10527592,10647244,10765531,10881882,10999664,11117873
"Population, total",SP.POP.TOTL,Ecuador,ECU,15483883,15722989,15957994,16195902,16439585,16696944,17015672,17343740,17588595,17797737
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,91240376,93377890,95592324,97723799,99784030,101789386,103740765,105618671,107465134,109262178
"Population, total",SP.POP.TOTL,El Salvador,SLV,6161289,6185642,6209526,6231066,6250510,6266654,6276342,6280217,6292731,6314167
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1193636,1243941,1295183,1346973,1398927,1450694,1502091,1553031,1596049,1634466
"Population, total",SP.POP.TOTL,Eritrea,ERI,3252596,3296367,3323425,3340006,3365287,3396933,3445374,3498818,3555868,3620312
"Population, total",SP.POP.TOTL,Estonia,EST,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326898,1329522,1330932
"Population, total",SP.POP.TOTL,Ethiopia,ETH,94451280,97084366,99746766,102471895,105293228,108197950,111129438,114120594,117190911,120283026
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48392,48418,48465,48816,49500,50230,50955,51681,52415,52889
"Population, total",SP.POP.TOTL,Fiji,FJI,911059,913453,915560,917200,918371,919019,918996,918465,920422,924610
"Population, total",SP.POP.TOTL,Finland,FIN,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,5541017
"Population, total",SP.POP.TOTL,France,FRA,65662240,66002289,66312067,66548272,66724104,66918020,67158348,67388001,67571107,67749632
"Population, total",SP.POP.TOTL,French Polynesia,PYF,286584,288032,289873,291787,293541,295450,297606,299717,301920,304032
"Population, total",SP.POP.TOTL,Gabon,GAB,1836705,1902226,1966855,2028517,2086206,2140215,2192012,2242785,2292573,2341179
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2061014,2124869,2189019,2253133,2317206,2381182,2444916,2508883,2573995,2639916
"Population, total",SP.POP.TOTL,Georgia,GEO,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,3708610
